X	Y	V
		Volts
1	1	3,8
1	2	3,8
1	4	3,86
1	6	3,82
1	8	3,83
1	10	3,83
1	12	3,84
1	14	3,87
1	16	3,88
1	18	3,85
1	20	3,84
3	1	3,4
3	2	3,41
3	4	3,41
3	6	3,39
3	8	3,38
3	10	3,38
3	12	3,41
3	14	3,42
3	16	3,43
3	18	3,42
3	20	3,38
5	1	3,01
5	2	3,02
5	4	3,01
5	6	2,98
5	8	2,95
5	10	2,96
5	12	2,98
5	14	3
5	16	3,01
5	18	3,01
5	20	3,02
7	1	2,62
7	2	2,61
7	4	2,6
7	6	2,58
7	8	2,51
7	10	2,52
7	12	2,54
7	14	2,6
7	16	2,61
7	18	2,62
7	20	2,61
9	1	2,22
9	2	2,22
9	4	2,21
9	6	2,22
9	8	2,02
9	10	2,02
9	12	2,02
9	14	2,21
9	16	2,21
9	18	2,22
9	20	2,22
11	1	1,84
11	2	1,82
11	4	1,83
11	6	1,84
11	8	2,01
11	10	2,01
11	12	2,01
11	14	1,82
11	16	1,82
11	18	1,81
11	20	1,83
13	1	1,46
13	2	1,45
13	4	1,44
13	6	1,47
13	8	1,52
13	10	1,55
13	12	1,53
13	14	1,46
13	16	1,43
13	18	1,4
13	20	1,41
15	1	1,063
15	2	1,055
15	4	1,072
15	6	1,081
15	8	1,095
15	10	1,115
15	12	1,084
15	14	1,048
15	16	1,034
15	18	1,028
15	20	1,026
17	1	0,652
17	2	0,667
17	4	0,653
17	6	0,666
17	8	0,674
17	10	0,679
17	12	0,666
17	14	0,64
17	16	0,623
17	18	0,604
17	20	0,614
19	1	0,273
19	2	0,256
19	4	0,27
19	6	0,264
19	8	0,27
19	10	0,274
19	12	0,277
19	14	0,264
19	16	0,266
19	18	0,253
19	20	0,252
