X	Y	Volt
		V
1	1	3,78
1	2	3,78
1	4	3,75
1	6	3,71
1	8	3,66
1	10	3,65
1	12	3,7
1	14	3,76
1	16	3,77
1	18	3,81
1	20	3,75
3	1	3,4
3	2	3,38
3	4	3,31
3	6	3,21
3	8	3,12
3	10	2,97
3	12	3,07
3	14	3,22
3	16	3,33
3	18	3,41
3	20	3,4
5	1	3,04
5	2	3,01
5	4	2,92
5	6	2,78
5	8	2,58
5	10	1,98
5	12	2,51
5	14	2,79
5	16	2,93
5	18	3,01
5	20	3,02
7	1	2,71
7	2	2,7
7	4	2,58
7	6	2,39
7	8	1,92
7	10	1,91
7	12	1,93
7	14	2,42
7	16	2,57
7	18	2,68
7	20	2,73
9	1	2,44
9	2	2,4
9	4	2,3
9	6	1,88
9	8	1,79
9	10	1,76
9	12	1,79
9	14	1,86
9	16	2,29
9	18	2,38
9	20	2,44
11	1	2,22
11	2	2,22
11	4	1,81
11	6	1,66
11	8	1,57
11	10	1,53
11	12	1,54
11	14	1,62
11	16	1,78
11	18	2,19
11	20	2,23
13	1	1,79
13	2	1,71
13	4	1,55
13	6	1,37
13	8	1,28
13	10	1,26
13	12	1,28
13	14	1,35
13	16	1,47
13	18	1,67
13	20	2,08
15	1	1,44
15	2	1,323
15	4	1,172
15	6	1,045
15	8	0,96
15	10	0,928
15	12	0,945
15	14	0,989
15	16	1,09
15	18	1,227
15	20	1,444
17	1	0,874
17	2	0,844
17	4	0,745
17	6	0,632
17	8	0,6
17	10	0,588
17	12	0,578
17	14	0,615
17	16	0,66
17	18	0,712
17	20	0,792
19	1	0,34
19	2	0,327
19	4	0,302
19	6	0,253
19	8	0,263
19	10	0,246
19	12	0,236
19	14	0,265
19	16	0,282
19	18	0,29
19	20	0,27
